Año,ID_MUNICIPIO,Municipio,11000 Remuneraciones al personal,13000 Remuneraciones adicionales y especiales,14000 Seguridad social,15000 Otras prestaciones sociales y económicas,16000 Previsiones,17000 Pago de estímulos a servidores públicos,"21000 Materiales de administración, emisión de documentos y artículos oficiales",22000 Alimentos y utensilios,24000 Materiales y artículos de construcción y de reparación,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización","26000 Combustibles, lubricantes y aditivos","27000 Vestuario, blancos, prendas de protección y artículos deportivos",28000 Materiales y suministros para seguridad,"29000 Herramientas, refacciones y accesorios menores",31000 Servicios básicos,32000 Servicios de arrendamiento,"33000 Servicios profesionales, científicos, técnicos y otros servicios","34000 Servicios financieros, bancarios y comerciales","35000 Servicios de instalación, reparación, mantenimiento y conservación",36000 Servicios de comunicación social y publicidad,37000 Servicios de traslado y viáticos,38000 Servicios oficiales,39000 Otros servicios generales,41000 Transferencias internas y asignaciones al sector público,43000 Subsidios y subvenciones,44000 Ayudas sociales,45000 Pensiones y jubilaciones,51000 Mobiliario y equipo de administración,52000 Mobiliario y equipo educacional y recreativo,54000 Vehículos y equipo de transporte,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,"56000 Maquinaria, otros equipos y herramientas",57000 Activos biológicos,58000 Bienes inmuebles,59000 Activos intangibles,61000 Obra pública en bienes de dominio público,62000 Obra pública en bienes propios,63000 Proyectos productivos y acciones de fomento,71000 Inversiones para el fomento de actividades productivas,79000 Provisiones para contingencias y otras erogaciones especiales,91000 Amortización de la deuda pública,92000 Intereses de la deuda pública,93000 Comisiones de la deuda pública,94000 Gastos de la deuda pública,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),  Egresos diversos
2021,1,Aconchi,5447044,1157342,1096033,655847,NA,NA,181696,147360,317961,67030,1283994,62742,14616,80098,1276533,214262,560113,93435,1651188,1801,77465,253959,516891,269406,NA,609192,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340596,NA,NA,NA,NA,NA,99580,NA,NA,NA,NA
2021,2,Agua Prieta,62286627,16531300,6808909,33730703,NA,215145,1249123,NA,42887,52223,8209255,142035,NA,835619,11988877,1447235,2719223,812941,840464,969684,879874,1510610,5512111,35889904,NA,1866605,NA,340848,NA,57185,NA,753550,NA,NA,16771,23080632,NA,NA,NA,NA,19490768,18064898,NA,NA,23350592,NA
2021,3,Alamos,46849904,13371060,7936284,417724,NA,651872,608992,815866,386586,15071,7725445,429094,NA,1201178,5322027,1598740,326121,632886,716408,813360,447498,2134550,741110,2908201,NA,4930507,7275081,204474,NA,NA,NA,20787,NA,1850000,NA,33883349,NA,NA,NA,NA,6937044,NA,NA,NA,NA,NA
2021,4,Altar,14028600,1143255,2702421,35000,NA,NA,323052,65657,NA,12846,4178806,NA,NA,110024,6326559,2323944,270308,67803,3373383,30482,200735,244785,533442,191699,NA,505518,NA,35818,NA,NA,NA,NA,NA,NA,NA,6992180,666059,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,5,Arivechi,4479639,751647,677843,8100,NA,92663,139827,23532,186309,NA,874299,NA,NA,NA,823160,319192,398519,65188,1624817,NA,137400,156381,160897,42413,NA,321565,91375,NA,NA,NA,NA,NA,NA,NA,NA,1891500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,6,Arizpe,6590217,686869,2542024,99849,NA,1169927,166953,188526,223177,43053,1955585,1891,19087,124838,2713996,43188,536157,65063,1721136,34800,121147,472624,218193,594886,NA,596054,NA,NA,NA,NA,NA,207639,NA,NA,NA,2770097,8981141,NA,NA,NA,NA,61947,NA,NA,NA,NA
2021,7,Atil,2864872,149815,1092012,NA,NA,27500,229612,10343,41299,NA,1141145,11709,NA,10743,510959,24000,88477,24127,3175836,NA,57825,172260,51415,888932,NA,90837,NA,13755,NA,NA,NA,56000,NA,NA,NA,1679563,834901,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,8,Bacadéhuachi,5242780,352329,329559,NA,NA,NA,57340,297543,11721,NA,1703095,43240,NA,459192,913152,331857,NA,96743,130844,45300,312518,625176,NA,271280,NA,648086,125200,NA,NA,NA,NA,NA,NA,NA,NA,1339120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,9,Bacanora,5120439,629949,983951,NA,NA,8467,126755,109890,42318,3860,1011784,5247,NA,54388,776113,181190,499107,76551,925703,33640,51890,389334,38696,190798,NA,729159,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235498,2000984,NA,NA,NA,38936,NA,NA,NA,NA,NA
2021,10,Bacerac,4554142,252433,1309634,NA,NA,NA,128366,NA,829074,NA,1370284,7891,NA,NA,987437,95895,355056,73383,725356,NA,313727,601147,12710,932320,NA,551767,NA,NA,NA,NA,NA,NA,NA,NA,NA,1122353,NA,NA,NA,NA,2.00E+05,48179,NA,NA,NA,NA
