Año,ID_MUNICIPIO,Municipio,Concepto,Valor
2021,1,Aconchi,11000 Remuneraciones al personal,5447044
2021,1,Aconchi,13000 Remuneraciones adicionales y especiales,1157342
2021,1,Aconchi,14000 Seguridad social,1096033
2021,1,Aconchi,15000 Otras prestaciones sociales y económicas,655847
2021,1,Aconchi,16000 Previsiones,NA
2021,1,Aconchi,17000 Pago de estímulos a servidores públicos,NA
2021,1,Aconchi,"21000 Materiales de administración, emisión de documentos y artículos oficiales",181696
2021,1,Aconchi,22000 Alimentos y utensilios,147360
2021,1,Aconchi,24000 Materiales y artículos de construcción y de reparación,317961
2021,1,Aconchi,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",67030
2021,1,Aconchi,"26000 Combustibles, lubricantes y aditivos",1283994
2021,1,Aconchi,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",62742
2021,1,Aconchi,28000 Materiales y suministros para seguridad,14616
2021,1,Aconchi,"29000 Herramientas, refacciones y accesorios menores",80098
2021,1,Aconchi,31000 Servicios básicos,1276533
2021,1,Aconchi,32000 Servicios de arrendamiento,214262
2021,1,Aconchi,"33000 Servicios profesionales, científicos, técnicos y otros servicios",560113
2021,1,Aconchi,"34000 Servicios financieros, bancarios y comerciales",93435
2021,1,Aconchi,"35000 Servicios de instalación, reparación, mantenimiento y conservación",1651188
2021,1,Aconchi,36000 Servicios de comunicación social y publicidad,1801
2021,1,Aconchi,37000 Servicios de traslado y viáticos,77465
2021,1,Aconchi,38000 Servicios oficiales,253959
2021,1,Aconchi,39000 Otros servicios generales,516891
2021,1,Aconchi,41000 Transferencias internas y asignaciones al sector público,269406
2021,1,Aconchi,43000 Subsidios y subvenciones,NA
2021,1,Aconchi,44000 Ayudas sociales,609192
2021,1,Aconchi,45000 Pensiones y jubilaciones,NA
2021,1,Aconchi,51000 Mobiliario y equipo de administración,NA
2021,1,Aconchi,52000 Mobiliario y equipo educacional y recreativo,NA
2021,1,Aconchi,54000 Vehículos y equipo de transporte,NA
2021,1,Aconchi,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,1,Aconchi,"56000 Maquinaria, otros equipos y herramientas",NA
2021,1,Aconchi,57000 Activos biológicos,NA
2021,1,Aconchi,58000 Bienes inmuebles,NA
2021,1,Aconchi,59000 Activos intangibles,NA
2021,1,Aconchi,61000 Obra pública en bienes de dominio público,1340596
2021,1,Aconchi,62000 Obra pública en bienes propios,NA
2021,1,Aconchi,63000 Proyectos productivos y acciones de fomento,NA
2021,1,Aconchi,71000 Inversiones para el fomento de actividades productivas,NA
2021,1,Aconchi,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,1,Aconchi,91000 Amortización de la deuda pública,NA
2021,1,Aconchi,92000 Intereses de la deuda pública,99580
2021,1,Aconchi,93000 Comisiones de la deuda pública,NA
2021,1,Aconchi,94000 Gastos de la deuda pública,NA
2021,1,Aconchi,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),NA
2021,1,Aconchi,  Egresos diversos,NA
2021,2,Agua Prieta,11000 Remuneraciones al personal,62286627
2021,2,Agua Prieta,13000 Remuneraciones adicionales y especiales,16531300
2021,2,Agua Prieta,14000 Seguridad social,6808909
2021,2,Agua Prieta,15000 Otras prestaciones sociales y económicas,33730703
2021,2,Agua Prieta,16000 Previsiones,NA
2021,2,Agua Prieta,17000 Pago de estímulos a servidores públicos,215145
2021,2,Agua Prieta,"21000 Materiales de administración, emisión de documentos y artículos oficiales",1249123
2021,2,Agua Prieta,22000 Alimentos y utensilios,NA
2021,2,Agua Prieta,24000 Materiales y artículos de construcción y de reparación,42887
2021,2,Agua Prieta,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",52223
2021,2,Agua Prieta,"26000 Combustibles, lubricantes y aditivos",8209255
2021,2,Agua Prieta,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",142035
2021,2,Agua Prieta,28000 Materiales y suministros para seguridad,NA
2021,2,Agua Prieta,"29000 Herramientas, refacciones y accesorios menores",835619
2021,2,Agua Prieta,31000 Servicios básicos,11988877
2021,2,Agua Prieta,32000 Servicios de arrendamiento,1447235
2021,2,Agua Prieta,"33000 Servicios profesionales, científicos, técnicos y otros servicios",2719223
2021,2,Agua Prieta,"34000 Servicios financieros, bancarios y comerciales",812941
2021,2,Agua Prieta,"35000 Servicios de instalación, reparación, mantenimiento y conservación",840464
2021,2,Agua Prieta,36000 Servicios de comunicación social y publicidad,969684
2021,2,Agua Prieta,37000 Servicios de traslado y viáticos,879874
2021,2,Agua Prieta,38000 Servicios oficiales,1510610
2021,2,Agua Prieta,39000 Otros servicios generales,5512111
2021,2,Agua Prieta,41000 Transferencias internas y asignaciones al sector público,35889904
2021,2,Agua Prieta,43000 Subsidios y subvenciones,NA
2021,2,Agua Prieta,44000 Ayudas sociales,1866605
2021,2,Agua Prieta,45000 Pensiones y jubilaciones,NA
2021,2,Agua Prieta,51000 Mobiliario y equipo de administración,340848
2021,2,Agua Prieta,52000 Mobiliario y equipo educacional y recreativo,NA
2021,2,Agua Prieta,54000 Vehículos y equipo de transporte,57185
2021,2,Agua Prieta,55000 Equipo de defensa y seguridad y equipo e instrumental médico y laboratorio,NA
2021,2,Agua Prieta,"56000 Maquinaria, otros equipos y herramientas",753550
2021,2,Agua Prieta,57000 Activos biológicos,NA
2021,2,Agua Prieta,58000 Bienes inmuebles,NA
2021,2,Agua Prieta,59000 Activos intangibles,16771
2021,2,Agua Prieta,61000 Obra pública en bienes de dominio público,23080632
2021,2,Agua Prieta,62000 Obra pública en bienes propios,NA
2021,2,Agua Prieta,63000 Proyectos productivos y acciones de fomento,NA
2021,2,Agua Prieta,71000 Inversiones para el fomento de actividades productivas,NA
2021,2,Agua Prieta,79000 Provisiones para contingencias y otras erogaciones especiales,NA
2021,2,Agua Prieta,91000 Amortización de la deuda pública,19490768
2021,2,Agua Prieta,92000 Intereses de la deuda pública,18064898
2021,2,Agua Prieta,93000 Comisiones de la deuda pública,NA
2021,2,Agua Prieta,94000 Gastos de la deuda pública,NA
2021,2,Agua Prieta,99000 Adeudos de ejercicios fiscales anteriores (ADEFAS),23350592
2021,2,Agua Prieta,  Egresos diversos,NA
2021,3,Alamos,11000 Remuneraciones al personal,46849904
2021,3,Alamos,13000 Remuneraciones adicionales y especiales,13371060
2021,3,Alamos,14000 Seguridad social,7936284
2021,3,Alamos,15000 Otras prestaciones sociales y económicas,417724
2021,3,Alamos,16000 Previsiones,NA
2021,3,Alamos,17000 Pago de estímulos a servidores públicos,651872
2021,3,Alamos,"21000 Materiales de administración, emisión de documentos y artículos oficiales",608992
2021,3,Alamos,22000 Alimentos y utensilios,815866
2021,3,Alamos,24000 Materiales y artículos de construcción y de reparación,386586
2021,3,Alamos,"25000 Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",15071
2021,3,Alamos,"26000 Combustibles, lubricantes y aditivos",7725445
2021,3,Alamos,"27000 Vestuario, blancos, prendas de protección y artículos deportivos",429094
2021,3,Alamos,28000 Materiales y suministros para seguridad,NA
2021,3,Alamos,"29000 Herramientas, refacciones y accesorios menores",1201178
2021,3,Alamos,31000 Servicios básicos,5322027
2021,3,Alamos,32000 Servicios de arrendamiento,1598740
2021,3,Alamos,"33000 Servicios profesionales, científicos, técnicos y otros servicios",326121
2021,3,Alamos,"34000 Servicios financieros, bancarios y comerciales",632886
2021,3,Alamos,"35000 Servicios de instalación, reparación, mantenimiento y conservación",716408
