Réplica,Especie,Tratamiento,H2_H1,H3_H2,H4_H3,H5_H4,H6_H5,H7_H6,H8_H7,H9_H8,H10_H9,H11_H10,H12_H11,H13_H14,H14_H13,H15_H14
1,V. farnesiana,C,-0.5,1,0.5,2,1.5,2.5,2,0.5,0.5,0,0,3,0,0.5
2,V. farnesiana,C,3,2.5,2.5,4,5,6,5.5,5,4.5,3,0,0.5,0.5,13
3,V. farnesiana,C,0,-4,0,0,0,0,0,0,0,0,0,0,0,0
4,V. farnesiana,C,0.5,1,1,1.5,2.5,3.5,4,6.5,6,3,-0.5,-3.5,0,2
5,R. communis,C,1.5,0,1,1,2,1,0,2,0.5,2,0.5,2,0.5,0.5
6,R. communis,C,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,R. communis,C,1,0,-3.5,0,0,0,0,0,0,0,0,0,0,0
8,R. communis,C,1,0,0.5,1,1.5,1,1,1.5,1.5,2,0,0,0.5,1
9,R. communis,C,1.5,0.5,1,0,2.5,0.5,1,1,1.5,1.5,0.5,0,1,1
10,V. farnesiana,C,1.5,1,1.5,1.5,2.5,3,2,6,4.5,13,0,0,3,0
11,V. farnesiana,C,3.5,0,0.5,2,2.5,3.5,3.5,5,7,7,7.5,1.5,1.5,1.5
12,V. farnesiana,C,0.5,5.5,7,7,8,6,4,9,2.5,-0.5,0.5,0,0,0
13,V. farnesiana,C,0,0,0.5,1.5,1.5,2.5,3,4.5,4.5,6.5,7.5,6.5,0,0
14,R. communis,C,-1,1,1,0,0.5,0,1,1.5,0.5,1,1,2,1.5,0.5
15,R. communis,C,0,0.5,1,1.5,1.5,0,1.5,1.5,1.5,5,3,0,0,1.5
16,R. communis,C,1.5,0.5,0.5,1,1.5,0.5,1,1.5,1,3,0,0.5,1,0.5
17,R. communis,C,2,0,1.5,0.5,1.5,1.5,1.5,2,2,6,0,0,0,2.5
18,R. communis,C,-1,0.5,1.5,1.5,2,1.5,1.5,2,1.5,1,0.5,1.5,0.5,1
19,V. farnesiana,C,2,0.5,0,0,2.5,4,5,3,3.5,6,0,-1,0,9
20,V. farnesiana,C,0.5,0.5,0.5,1.5,1.5,3.5,4,2.5,4.5,6.5,0.5,0,0.5,1
21,V. farnesiana,J,2.5,0,1.5,0,1,0,0,0,0,1,0,-1.5,0,0
22,R. communis,J,1,0,0,1,0,0,1,0,0,1,0,0,0.5,0
23,R. communis,J,1,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,1,0
24,R. communis,J,0.5,0.5,0,0,0,-3.5,0,0,0,0,0,0,0,0
25,R. communis,J,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
26,R. communis,J,-0.5,0,-3.5,0,0,0,0,0,0,0,0,0,0,0
27,R. communis,J,0.5,1,-2.5,0,0,0,0,0,0,0,0,0,0,0
28,V. farnesiana,J,1,0,0,0,0,0,0,0,0,-1,0,-0.5,0.5,0
29,V. farnesiana,J,0,0,-3.5,0,0,0,0,0,0,0,0,0,0,0
30,V. farnesiana,J,-0.5,0.5,1,0.5,0.5,0.5,1,0,1,8,-7.5,-1,0,0.5
31,V. farnesiana,J,0.5,0,-5,0,0,0,0,0,0,0,0,0,0,0
32,R. communis,J,-0.5,-0.5,0.5,-3,0,0,0,0,0,0,0,0,0,0
33,R. communis,J,1,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0.5,1,0
34,R. communis,J,0.5,0,-2,0,0,0,0,0,0,0,0,0,0,0
35,V. farnesiana,J,1.5,0,0.5,0.5,0.5,0.5,1,0,0,1,0,0.5,0.5,-0.5
36,R. communis,J,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0
37,V. farnesiana,J,0.5,0,-3.5,0,0,0,0,0,0,0,0,0,0,0
38,V. farnesiana,J,2.5,0,1.5,0,0.5,0.5,1,0,0.5,1.5,0,0.5,0,0
39,V. farnesiana,J,-0.5,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,1
40,V. farnesiana,J,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
41,V. farnesiana,JI,0.5,0,0,-2.5,0,0,0,0,0,0,0,0,0,0
42,V. farnesiana,JI,0.5,0.5,0.5,0,1.5,0.5,0,1,0,0,1,-1,0.5,0
43,V. farnesiana,JI,3,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,-0.5,0.5,1
44,V. farnesiana,JI,0,-4,0,0,0,0,0,0,0,0,0,0,0,0
45,V. farnesiana,JI,2.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,-1,0,-0.5
46,R. communis,JI,0,-3.5,0,0,0,0,0,0,0,0,0,0,0,0
47,R. communis,JI,0,-2.5,0,0,4,-4,0,0,0,0,0,0,0,0
48,R. communis,JI,0.5,0,0,0,-4,4,0.5,0.5,0,0,0,0,0,0.5
49,R. communis,JI,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
50,R. communis,JI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,V. farnesiana,JI,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0
52,V. farnesiana,JI,0.5,0.5,0,0.5,0,1,0,0.5,0,0.5,0,0,0,0
53,V. farnesiana,JI,0,-4,0,0,0,0,0,0,0,0,0,0,0,0
54,V. farnesiana,JI,0.5,-2.5,0,0,0,0,0,0,0,0,0,0,0,0
55,V. farnesiana,JI,0,-5,0,0,0,0,0,0,0,0,0,0,0,0
56,R. communis,JI,0,-4,0,0,0,0,0,0,0,0,0,0,0,0
57,R. communis,JI,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
58,R. communis,JI,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0
59,R. communis,JI,1.5,0,0,0.5,0.5,-0.5,0,0.5,0,0,0,-4,0,0
60,R. communis,JI,0.5,1,0,0,0,0,0.5,0,0,0,0,0.5,0,0
61,V. farnesiana,CI,4,3.5,6,3,9.5,6,4.5,5.5,0,7,0,0,0,0
62,V. farnesiana,CI,4.5,3,4.5,4,8,7,6,10.5,7.5,0,0,0,0,0
63,V. farnesiana,CI,3.5,1.5,2,2,5,3.5,3.5,2,0,0,0,0,0.5,9.5
64,V. farnesiana,CI,3,3,3.5,5,6,5.5,4.5,7,3,0,0,0,0,0
65,R. communis,CI,1,0,0,1,0.5,0,1,0.5,0,1,0,-1.5,0.5,0
66,V. farnesiana,CI,1,0,0,-4.5,0,0,0,0,0,0,0,0,0,0
67,R. communis,CI,0,1,1,1,0.5,0,0.5,0,1,3,1.5,0,0,0
68,R. communis,CI,2,0,1.5,0.5,0.5,0.5,0.5,2.5,1,4,2,0,1,0.5
69,R. communis,CI,0,0.5,0.5,0,0.5,0,2.5,2,1.5,4.5,0.5,1,1,0
70,R. communis,CI,2.5,0.5,0.5,0,-0.5,2.5,1,1,1.5,3,0.5,1.5,0.5,0.5
71,V. farnesiana,CI,3.5,2,1,4,6.5,6,5,8.5,0.5,0,0,0.5,5,0.5
72,V. farnesiana,CI,2.5,0.5,2.5,5,6,7,5,6.5,0,7,0.5,0.5,3,1.5
73,V. farnesiana,CI,4,3.5,6.5,7,9.5,8,5,9.5,1.5,0,8,1,0,1
74,V. farnesiana,CI,0.5,0,2.5,2.5,5.5,6,7,9,0,0,3,3,1.5,0
75,V. farnesiana,CI,1,0,1.5,0,0.5,2,5,6.5,2.5,3.5,0,0,0,12
76,R. communis,CI,0,-5.5,0,0,0,0,0,0,0,0,0,0,0,0
77,R. communis,CI,1,0.5,0,0,0.5,0,0.5,2,1,4,1,1,0,0
78,R. communis,CI,0.5,0.5,0,0,2,0.5,0.5,1,2,5,0,1,0.5,0
79,R. communis,CI,1.5,0,2,1,2,0.5,1,2.5,0.5,3.5,0.5,2,1,0.5
80,R. communis,CI,1,0,0,0,0.5,-1.5,-6,0,0,0,0,0,0,0
81,V. farnesiana,SN,3.5,3.5,6,5.5,7.5,8.5,3.5,6.5,3,2,0.5,0,0,0
82,V. farnesiana,SN,5.5,6.5,7,7,7,6.5,5.5,5.5,2.5,6,0.5,0,1.5,0
83,V. farnesiana,SN,6,4,6.5,4.5,6,6.5,4,1.5,2.5,0.5,0,0,2.5,0.5
84,V. farnesiana,SN,7.5,6,10.5,7.5,9.5,6.5,4.5,0,0,0,0,0,2.5,1
85,V. farnesiana,SN,5.5,3,6,3.5,7,7.5,7.5,4,0.5,0,0,1,0,0
86,R. communis,SN,0.5,0,0,-5,0,0,0,0,0,0,0,0,0,0
87,R. communis,SN,1.5,0.5,0,0,1,0.5,2,1,2.5,1,0.5,1,0.5,0
88,R. communis,SN,2,0.5,0,0,0,1.5,0,1.5,1,2,0.5,0,0,2.5
89,V. farnesiana,SN,3,1,1.5,2.5,2.5,2,2.5,4,0.5,5,5,0,0,0
90,R. communis,SN,1,0.5,0,1,1,1,1,1,0.5,3,0,0.5,0.5,1.5
91,R. communis,SN,0.5,0,0,0.5,1,0.5,0.5,1.5,0.5,2.5,0,0.5,0.5,0
92,V. farnesiana,SN,3.5,2.5,3.5,3,5.5,7.5,5.5,7,3,6,1,0.5,1.5,1
93,R. communis,SN,1,1,1,0.5,1,1,0.5,0,1,2.5,0.5,0.5,0.5,0
94,R. communis,SN,0.5,0.5,1.5,0,2,0.5,1.5,1,1,4.5,0.5,0,1,0
95,R. communis,SN,1.5,1.5,0,1,1,0.5,1,1,1,1,1,0.5,1,0
96,V. farnesiana,SN,3.5,2.5,4,4.5,6.5,6.5,6,4.5,1,6.5,8,0.5,0.5,2.5
