Profundidad,Abies,Acacia,Agave,Alnus oblongifolia,Anisacanthus type,Arbutus,Berberis,Bursera,Bursera laxiflora,Bursera microphylla,Cactoideae,Canotia type,Ceiba,Celtis,Cf. Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia aculeata,Picea,Pinus,Prosopis,Prunus,Quercus,Rutaceae,Salix,Sambucus type,Tecoma stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia ludoviciana,Asteroideae,Boerhavia type,Boraginaceae,Brassicaceae,Callaeum macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Croton type,Cucurbitaceae,Cyperaceae,Dalea,Dicliptera,Eriogonum,Eustoma,Euphorbiaceae,Euphorbia ,Evolvulus,Faboideae,Gentianaceae,Hibiscus type,Ipomoea,Justicia californica,Kallstroemia ,Lamiaceae,Lippia type,Lotus type,Lythrum,Manihot,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Poaceae >60µm,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Solanaceae,Sida,Sphaeralcea type,Tetramerium nervosum,Tribulus ,Trixis californica,Typha tetrads,Typha monads,Urtica,Verbenaceae,Zea mays,Zygophyllaceae,Adiantum,Anemia,Asplenium ,Botrychium,Cheilanthes,Gymnocarpium,Lygodium cf.,Monoleta,Ophioglossum,Osmunda,Reticulate trilete,Selaginella,Pellaea,Spore trilete without perine,Unknown trilete,Indeterminados,Indeterminables
5,0,0,0,0,0,0,0,0,0,0,0.847,0,0,2.119,0,0.847,0,0,0,0,0,0,0,0,0.847,0,0,5.508,14.407,0,1.271,0,0,0.424,0,0,0,21.186,23.305,0,0,5.085,2.966,3.814,0.847,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,1.271,0,0,0.847,0,0.424,0,0,0,0.847,0,0,0,0,0,0,0,0,0,0.424,0.424,2.119,0,0,0,0,0,0,0,0.847,0,0.424,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,4.661,0
10,0,0.524,0,0,0,0,0,0,0,0,4.188,0,0,1.571,0,0.524,0,0,0.524,0,0,0,0,0,0,0,0,3.665,20.419,0,3.141,0,0,0,0,0,0,30.366,9.948,0,0,6.283,0,5.759,0,0,0,0,0,0,0,0,0,0,2.094,0,0,0,0,0,0,0,0,1.571,0,0,0,0,1.047,0,0,0,0,0.524,0,0,0,0,0,1.047,3.665,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0,0,0,0,2.094
15,0,0,0,0,0,0,0,0,0,0,4.494,1.685,1.124,1.124,0,0,0,0,0,0,0,0,0,0,1.124,0,0,3.371,11.798,0,10.112,0,0,0,0,0.562,0,20.225,11.236,0,0.562,10.674,0,0,0,0,0,0,0,0,0,0,0,0.562,0,0,0,0,0,0.562,0,0,0,0,0.562,0,0,0,0,0,0,0,0,0,0,0,3.933,0,0,0,3.933,0,0,0,0,0,0,0,0,0.562,0.562,0,0,0,0,0,0,5.056,0,0,0,0,0,0,0,0,0,0,0,0,0,1.124,0,0,0,0,5.056
21,0,0,0,0,0,0,0,0,0,0,1.724,1.724,1.724,0,0,0,0,0,0,0,0,0,0,0,5.172,0,0,1.724,0,0,13.793,0,1.724,0,0,0,0,17.241,5.172,0,3.448,18.966,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.897,0,0,0,0,0,0,0,0,0,0,13.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448
24,0,0,0,0,0,0,0,0,0,0,1.506,1.205,0,1.506,0,0,0,0,0,0,0,0,0,0,0,0,0,2.108,0,0,16.265,0,0,0,0,0,0,21.386,8.133,0,0.602,23.494,0.602,0,0,0,0,0.301,0,0,0,0,0,0,3.012,0.301,0,0,0,0.602,0,0,0,0,0,0.301,0,0,0,0.904,0,0,0,0,0,0,0,0,0,0,12.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602,0,0,0,0,3.313
27,0,0,0,0,0,0,0,0,0,0,0,0.938,0,1.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,9.375,0,0,0,0,0.625,0,28.125,5.625,0,0.313,24.375,0,0,0,0,0,1.25,0,0.313,0,0,0,0,1.563,0,0,0,0,5.625,0.313,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,9.688,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.938
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0.33,0,0,0,0,0,0,0,0,0.33,0,0,0.66,0,0,0,0,0,0,0,0.33,0,0,0,0,0,6.271,0.33,0,11.881,0,0,0,0,0,0,16.832,6.271,0,0.66,29.703,0,0,0,0,0,0.33,0,0,0,0,0,0,1.98,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.152,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0.99,1.32
36,0,0,0,0,0,0,0,0.752,0,0,0.752,0.752,0,1.504,0,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,0,14.662,0.376,0,0,0,0,0,7.143,8.271,0,0.752,35.338,0,0,0,0,0,2.256,0,0,0,0,0,0,1.504,0,0,0.376,0,1.504,0,0,0,0,0,0.376,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,0,0,0,0,0,0,0,0,0,0.376,0,1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,6.391
39,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0,15.315,0,0,0,0,0,0,16.216,5.405,0,0.901,25.225,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0.901,0,0,0,0.901,0.901,0,0,0,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0,0,0,22.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.802,3.604
