cl_inegi,mun,poblacion,grupo,
26001,Aconchi,3108,rural,ACONCHI
26002,Agua Prieta,89984,semi-urbanos,AGUA PRIETA
26003,Alamos,28518,semi-urbanos,ALAMOS
26004,Altar,10528,rural,ALTAR
26005,Arivechi,1312,rural,ARIVECHI
26006,Arizpe,3010,rural,ARIZPE
26007,Atil,646,rural,ATIL
26008,Bacadéhuachi,1242,rural,BACADÉHUACHI
26009,Bacanora,892,rural,BACANORA
26010,Bacerac,1578,rural,BACERAC
26011,Bacoachi,1780,rural,BACOACHI
26012,Bácum,25402,semi-urbanos,BÁCUM
26013,Banámichi,1849,rural,BANÁMICHI
26014,Baviácora,3752,rural,BAVIÁCORA
26015,Bavispe,1687,rural,BAVISPE
26016,Benjamín Hill,5667,rural,BENJAMÍN HILL
26017,Caborca,94290,semi-urbanos,CABORCA
26018,Cajeme,479894,urbano,CAJEME
26019,Cananea,38830,semi-urbanos,CANANEA
26020,Carbó,5377,rural,CARBÓ
26021,La Colorada,2185,rural,LA COLORADA
26022,Cucurpe,1101,rural,CUCURPE
26023,Cumpas,6926,rural,CUMPAS
26024,Divisaderos,839,rural,DIVISADEROS
26025,Empalme,61915,semi-urbanos,EMPALME
26026,Etchojoa,68361,semi-urbanos,ETCHOJOA
26027,Fronteras,9521,rural,FRONTERAS
26028,Granados,1201,rural,GRANADOS
26029,Guaymas,175499,urbano,GUAYMAS
26030,Hermosillo,970061,urbano,HERMOSILLO
26031,Huachinera,1451,rural,HUACHINERA
26032,Huásabas,1017,rural,HUÁSABAS
26033,Huatabampo,88628,semi-urbanos,HUATABAMPO
26034,Huépac,1116,rural,HUÉPAC
26035,Imuris,14144,semi-urbanos,IMURIS
26036,Magdalena,34739,semi-urbanos,MAGDALENA
26037,Mazatán,1339,rural,MAZATÁN
26038,Moctezuma,5537,rural,MOCTEZUMA
26039,Naco,6860,rural,NACO
26040,Nácori Chico,2235,rural,NÁCORI CHICO
26041,Nacozari de García,14442,semi-urbanos,NACOZARI DE GARCÍA
26042,Navojoa,180942,urbano,NAVOJOA
26043,Nogales,258871,urbano,NOGALES
26044,Onavas,507,rural,ONAVAS
26045,Opodepe,3018,rural,OPODEPE
26046,Oquitoa,441,rural,OQUITOA
26047,Pitiquito,10298,rural,PITIQUITO
26048,Puerto Peñasco,74689,semi-urbanos,PUERTO PEÑASCO
26049,Quiriego,3155,rural,QUIRIEGO
26050,Rayón,1698,rural,RAYÓN
26051,Rosario,5601,rural,ROSARIO
26052,Sahuaripa,6230,rural,SAHUARIPA
26053,San Felipe de Jesús,466,rural,SAN FELIPE DE JESÚS
26054,San Javier,716,rural,SAN JAVIER
26055,San Luis Río Colorado,211722,urbano,SAN LUIS RÍO COLORADO
26056,San Miguel de Horcasitas,10295,rural,SAN MIGUEL DE HORCASITAS
26057,San Pedro de la Cueva,1692,rural,SAN PEDRO DE LA CUEVA
26058,Santa Ana,18230,semi-urbanos,SANTA ANA
26059,Santa Cruz,2063,rural,SANTA CRUZ
26060,Sáric,1708,rural,SÁRIC
26061,Soyopa,1527,rural,SOYOPA
26062,Suaqui Grande,1248,rural,SUAQUI GRANDE
26063,Tepache,1604,rural,TEPACHE
26064,Trincheras,1798,rural,TRINCHERAS
26065,Tubutama,1315,rural,TUBUTAMA
26066,Ures,9798,rural,URES
26067,Villa Hidalgo,1728,rural,VILLA HIDALGO
26068,Villa Pesqueira,1275,rural,VILLA PESQUEIRA
26069,Yécora,6457,rural,YÉCORA
26070,General Plutarco Elías Calles,19016,semi-urbanos,GENERAL PLUTARCO ELÍAS CALLES
26071,Benito Juárez,24322,semi-urbanos,BENITO JUÁREZ
26072,San Ignacio Río Muerto,16001,semi-urbanos,SAN IGNACIO RÍO MUERTO
