Año,ent,entidad,indicador,tipo,porcentaje,miles_de_personas
2016,0,Nacional,Población en situación de pobreza,Pobreza,43.2,52221.1
2016,0,Nacional,Población en situación de pobreza moderada,Pobreza,36,43475.8
2016,0,Nacional,Población en situación de pobreza extrema,Pobreza,7.2,8745.3
2016,0,Nacional,Población vulnerable por carencias sociales,Pobreza,25.3,30506.5
2016,0,Nacional,Población vulnerable por ingresos,Pobreza,7.6,9122.2
2016,0,Nacional,Población no pobre y no vulnerable,Pobreza,24,28944.3
2016,0,Nacional,Población con al menos una carencia social,Privación social,68.5,82727.6
2016,0,Nacional,Población con al menos tres carencias sociales,Privación social,20,24150.9
2016,0,Nacional,Rezago educativo,Carencia social,18.5,22299
2016,0,Nacional,Carencia por acceso a los servicios de salud,Carencia social,15.6,18786.6
2016,0,Nacional,Carencia por acceso a la seguridad social,Carencia social,54.1,65367.5
2016,0,Nacional,Carencia por calidad y espacios de la vivienda,Carencia social,12,14468.4
2016,0,Nacional,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,19.2,23144.9
2016,0,Nacional,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,21.9,26460.3
2016,0,Nacional,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,14.9,17954.8
2016,0,Nacional,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,50.8,61343.3
2016,1,Aguascalientes,Población en situación de pobreza,Pobreza,28.9,381380
2016,1,Aguascalientes,Población en situación de pobreza moderada,Pobreza,26.7,352176
2016,1,Aguascalientes,Población en situación de pobreza extrema,Pobreza,2.2,29204
2016,1,Aguascalientes,Población vulnerable por carencias sociales,Pobreza,25.1,330718
2016,1,Aguascalientes,Población vulnerable por ingresos,Pobreza,11.5,152009
2016,1,Aguascalientes,Población no pobre y no vulnerable,Pobreza,34.4,453428
2016,1,Aguascalientes,Rezago educativo,Carencia social,15.8,207677
2016,1,Aguascalientes,Carencia por acceso a los servicios de salud,Carencia social,12.1,159965
2016,1,Aguascalientes,Carencia por acceso a la seguridad social,Carencia social,37.4,492735
2016,1,Aguascalientes,Carencia por calidad y espacios de la vivienda,Carencia social,5.5,71878
2016,1,Aguascalientes,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,2.3,30078
2016,1,Aguascalientes,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,17.9,235182
2016,1,Aguascalientes,Población con al menos una carencia social,Privación social,54,712098
2016,1,Aguascalientes,Población con al menos tres carencias sociales,Privación social,8.4,111228
2016,1,Aguascalientes,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,8.5,111373
2016,1,Aguascalientes,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,40.5,533389
2016,2,Baja California,Población en situación de pobreza,Pobreza,22.6,819473
2016,2,Baja California,Población en situación de pobreza moderada,Pobreza,21.6,784634
2016,2,Baja California,Población en situación de pobreza extrema,Pobreza,1,34839
2016,2,Baja California,Población vulnerable por carencias sociales,Pobreza,33.6,1217281
2016,2,Baja California,Población vulnerable por ingresos,Pobreza,7.7,280143
2016,2,Baja California,Población no pobre y no vulnerable,Pobreza,36.1,1308309
2016,2,Baja California,Rezago educativo,Carencia social,14.1,509433
2016,2,Baja California,Carencia por acceso a los servicios de salud,Carencia social,17.3,626972
2016,2,Baja California,Carencia por acceso a la seguridad social,Carencia social,36.7,1330909
2016,2,Baja California,Carencia por calidad y espacios de la vivienda,Carencia social,7.8,281602
2016,2,Baja California,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,6.3,227583
2016,2,Baja California,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,16.1,585438
2016,2,Baja California,Población con al menos una carencia social,Privación social,56.2,2036754
2016,2,Baja California,Población con al menos tres carencias sociales,Privación social,9.5,346029
2016,2,Baja California,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,4.8,172593
2016,2,Baja California,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,30.3,1099616
2016,3,Baja California Sur,Población en situación de pobreza,Pobreza,22.9,165234
2016,3,Baja California Sur,Población en situación de pobreza moderada,Pobreza,21.4,154494
2016,3,Baja California Sur,Población en situación de pobreza extrema,Pobreza,1.5,10740
2016,3,Baja California Sur,Población vulnerable por carencias sociales,Pobreza,34.1,246326
2016,3,Baja California Sur,Población vulnerable por ingresos,Pobreza,7.3,52636
2016,3,Baja California Sur,Población no pobre y no vulnerable,Pobreza,35.7,257979
2016,3,Baja California Sur,Rezago educativo,Carencia social,14.3,103315
2016,3,Baja California Sur,Carencia por acceso a los servicios de salud,Carencia social,12.5,89964
2016,3,Baja California Sur,Carencia por acceso a la seguridad social,Carencia social,34,245593
2016,3,Baja California Sur,Carencia por calidad y espacios de la vivienda,Carencia social,13.1,94766
2016,3,Baja California Sur,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,12.8,92546
2016,3,Baja California Sur,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,20.1,144818
2016,3,Baja California Sur,Población con al menos una carencia social,Privación social,57,411560
2016,3,Baja California Sur,Población con al menos tres carencias sociales,Privación social,12.6,91218
2016,3,Baja California Sur,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,5.3,38218
2016,3,Baja California Sur,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,30.2,217870
2016,4,Campeche,Población en situación de pobreza,Pobreza,45.7,391464
2016,4,Campeche,Población en situación de pobreza moderada,Pobreza,39.1,335325
2016,4,Campeche,Población en situación de pobreza extrema,Pobreza,6.5,56139
2016,4,Campeche,Población vulnerable por carencias sociales,Pobreza,28.6,244912
2016,4,Campeche,Población vulnerable por ingresos,Pobreza,5.6,47923
2016,4,Campeche,Población no pobre y no vulnerable,Pobreza,20.2,173043
2016,4,Campeche,Rezago educativo,Carencia social,18,154632
2016,4,Campeche,Carencia por acceso a los servicios de salud,Carencia social,10.7,92133
2016,4,Campeche,Carencia por acceso a la seguridad social,Carencia social,58.3,499518
2016,4,Campeche,Carencia por calidad y espacios de la vivienda,Carencia social,16.9,144753
2016,4,Campeche,Carencia por acceso a los servicios básicos en la vivienda,Carencia social,29.2,250290
2016,4,Campeche,Carencia por acceso a la alimentación nutritiva y de calidad,Carencia social,28.3,242830
2016,4,Campeche,Población con al menos una carencia social,Privación social,74.2,636376
2016,4,Campeche,Población con al menos tres carencias sociales,Privación social,24.9,213095
2016,4,Campeche,Población con ingreso inferior a la línea de pobreza extrema por ingresos,Bienestar económico,14.4,123770
2016,4,Campeche,Población con ingreso inferior a la línea de pobreza por ingresos,Bienestar económico,51.2,439387
2016,5,Coahuila,Población en situación de pobreza,Pobreza,27.1,799762
2016,5,Coahuila,Población en situación de pobreza moderada,Pobreza,25.1,742856
2016,5,Coahuila,Población en situación de pobreza extrema,Pobreza,1.9,56906
2016,5,Coahuila,Población vulnerable por carencias sociales,Pobreza,20.5,606747
